tenting,(Multiple Items),,group,(Multiple Items),,remote,(Multiple Items),,structured_RV,(Multiple Items),,type of camping,median day 
2.515463918,,,,,,,,,,,,,
2.515873016,,,,,,,,,,,,,
2.516739447,,,,,,,,,,,,,
2.51835206,,,,,,,,,,,,,
2.51954023,,,,,,,,,,,,,
2.51981352,,,,,,,,,,,,,
2.522493573,,,,,,,,,,,,,
2.530757499,,,,,,,,,,,,,
2.531531532,,,,,,,,,,,,,
2.533333333,,,,,,,,,,,,,
2.535558781,,,,,,,,,,,,,
2.535714286,,,,,,,,,,,,,
2.537671233,,,,,,,,,,,,,
2.538461538,,,,,,,,,,,,,
2.539089848,,,,,,,,,,,,,
2.53968254,,,,,,,,,,,,,
2.541818182,,,,,,,,,,,,,
2.543243243,,,,,,,,,,,,,
2.548387097,,,,,,,,,,,,,
2.548788474,,,,,,,,,,,,,
2.551282051,,,,,,,,,,,,,
2.56,,,,,,,,,,,,,
2.561403509,,,,,,,,,,,,,
2.562372188,,,,,,,,,,,,,
2.566929134,,,,,,,,,,,,,
2.568287037,,,,,,,,,,,,,
2.568783069,,,,,,,,,,,,,
2.572580645,,,,,,,,,,,,,
2.576842105,,,,,,,,,,,,,
2.580291971,,,,,,,,,,,,,
2.583183453,,,,,,,,,,,,,
2.58677686,,,,,,,,,,,,,
2.58685446,,,,,,,,,,,,,
2.587104072,,,,,,,,,,,,,
2.588447653,,,,,,,,,,,,,
2.590277778,,,,,,,,,,,,,
2.592783505,,,,,,,,,,,,,
2.6,,,,,,,,,,,,,
2.604562738,,,,,,,,,,,,,
2.604651163,,,,,,,,,,,,,
2.610218978,,,,,,,,,,,,,
2.610315186,,,,,,,,,,,,,
2.612244898,,,,,,,,,,,,,
2.61849711,,,,,,,,,,,,,
2.619122257,,,,,,,,,,,,,
2.622610817,,,,,,,,,,,,,
2.625,,,,,,,,,,,,,
2.630434783,,,,,,,,,,,,,
2.633451957,,,,,,,,,,,,,
2.6375,,,,,,,,,,,,,
2.63836478,,,,,,,,,,,,,
2.638795987,,,,,,,,,,,,,
2.638888889,,,,,,,,,,,,,
2.641304348,,,,,,,,,,,,,
2.646129542,,,,,,,,,,,,,
2.651851852,,,,,,,,,,,,,
2.652968037,,,,,,,,,,,,,
2.654101996,,,,,,,,,,,,,
2.654331662,,,,,,,,,,,,,
2.655853315,,,,,,,,,,,,,
2.656140351,,,,,,,,,,,,,
2.666405024,,,,,,,,,,,,,
2.666666667,,,,,,,,,,,,,
2.672171759,,,,,,,,,,,,,
2.678756477,,,,,,,,,,,,,
2.6875,,,,,,,,,,,,,
2.687747036,,,,,,,,,,,,,
2.688838782,,,,,,,,,,,,,
2.69121813,,,,,,,,,,,,,
2.697916667,,,,,,,,,,,,,
2.700657895,,,,,,,,,,,,,
2.702020202,,,,,,,,,,,,,
2.716117216,,,,,,,,,,,,,
2.718518519,,,,,,,,,,,,,
2.723991507,,,,,,,,,,,,,
2.724899598,,,,,,,,,,,,,
2.730471675,,,,,,,,,,,,,
2.737226277,,,,,,,,,,,,,
2.743589744,,,,,,,,,,,,,
2.744076295,,,,,,,,,,,,,
2.747288503,,,,,,,,,,,,,
2.757861635,,,,,,,,,,,,,
2.757894737,,,,,,,,,,,,,
2.7582846,,,,,,,,,,,,,
