facilityid,median_orderdate_to_startdate,average_orderdate_to_startdate,min_orderdate_to_startdate,max_orderdate_to_startdate,average_nights,median_nights
232832.0,28.0,45.525,3,235,2.581451612903226,2.0
232833.0,41.0,62.50785854616896,3,190,2.68762278978389,2.0
232834.0,13.0,31.75089605734767,1,182,2.2652329749103943,2.0
232835.0,29.0,51.58078404713347,1,186,2.00158622252436,2.0
232836.0,26.0,46.87560038424592,1,184,1.9879923150816523,2.0
232837.0,38.0,63.82179930795848,1,253,2.0528917449332673,2.0
232838.0,43.0,67.91105863833137,1,203,1.9901613537977174,2.0
232839.0,28.0,46.214341085271315,1,184,2.1147286821705427,2.0
232840.0,43.0,70.50386001029337,1,200,2.249613998970664,2.0
232841.0,26.0,47.90700377797152,1,233,1.990409764603313,2.0
232842.0,25.0,40.701149425287355,1,186,2.1981767736821243,2.0
232843.0,33.0,59.371315192743765,1,194,2.009637188208617,2.0
232844.0,48.0,72.66013564431047,1,251,2.1205727204220044,2.0
232845.0,31.0,53.96930342384888,1,192,2.0791027154663517,2.0
232846.0,27.0,47.36055603822763,1,184,2.092962641181581,2.0
232847.0,20.0,35.336810730253355,1,182,2.0417287630402385,2.0
232848.0,36.0,65.72659244387663,1,224,2.0257346231064064,2.0
232849.0,39.0,69.5021363869424,1,256,2.165270893864297,2.0
232850.0,148.0,150.53801169590642,1,451,2.3645224171539962,2.0
232851.0,43.0,63.180036297640655,1,297,2.2780399274047185,2.0
232852.0,26.5,39.9263698630137,3,183,2.5864726027397262,2.0
232853.0,36.0,59.103078298633285,3,223,2.43338868310129,2.0
232854.0,79.0,89.57184430702074,1,199,2.6405965805747544,2.0
232855.0,21.0,27.870568837592746,3,181,2.247320692497939,2.0
232856.0,62.0,81.25342465753425,1,241,2.4375,2.0
232857.0,32.0,48.977996525767225,3,184,2.515923566878981,2.0
232858.0,38.0,64.20975650997633,1,220,2.8267247210010145,2.0
232859.0,184.0,183.79623824451411,0,490,2.7962382445141065,3.0
232860.0,46.0,68.73517200474495,3,189,2.536476868327402,2.0
232861.0,75.0,90.50982419855222,3,257,2.46794208893485,2.0
232862.0,35.0,56.659212880143116,3,193,2.2999403697078113,2.0
232863.0,60.0,83.20563035495717,1,186,2.9253365973072216,3.0
232864.0,45.0,72.27809862283429,3,331,2.255886272767659,2.0
232865.0,113.0,108.6689158794422,0,378,2.9156545209176787,2.0
232866.0,113.0,100.348606986282,2,255,2.7884316221185124,2.0
232867.0,93.0,94.9086027920296,2,225,2.7968022908960744,2.0
232868.0,110.0,98.55843416370107,2,265,2.994875444839858,2.0
232869.0,13.0,20.71604938271605,3,264,2.1728395061728394,2.0
232870.0,29.0,55.490624125384834,1,204,2.1290232297788974,2.0
232871.0,16.0,25.784275184275185,3,184,2.514004914004914,2.0
232872.0,42.0,64.17410323709537,1,191,2.05336832895888,2.0
232873.0,37.0,69.54105888708806,1,252,2.618044300378174,2.0
232874.0,24.0,51.2516158583134,0,285,2.3053590513512137,2.0
232875.0,39.0,57.70021111893033,0,203,1.9472202674173118,2.0
232876.0,40.0,70.45905957084204,0,265,2.110388101324657,2.0
232877.0,17.0,33.524684270952925,1,196,2.5384615384615383,2.0
232878.0,30.0,54.576404664546416,0,209,2.2754808420414965,2.0
232879.0,74.5,86.58333333333333,1,233,2.5416666666666665,2.0
232880.0,39.0,54.022364217252395,1,178,2.056138749429484,2.0
232881.0,42.0,59.892547660311955,1,219,2.311525129982669,2.0
232882.0,21.0,31.310972143263218,1,184,2.162023877202956,2.0
232883.0,19.0,37.58840579710145,1,230,2.463888888888889,2.0
232884.0,25.0,43.29656760150691,1,245,2.197362913352867,2.0
232885.0,223.0,208.66666666666666,135,254,3.0,3.0
232886.0,190.0,190.66666666666666,143,259,2.8333333333333335,2.5
232887.0,40.0,59.67227395614299,0,207,2.4388705316911987,2.0
232888.0,58.0,77.0671565625638,0,274,2.546233925290876,2.0
