Index,FacilityID,OrgFacilityID,ParentRecAreaID,FacilityName,FacilityLongitude,FacilityLatitude,NumberofCampsites,ActivityName.1,ActivityName.2,ActivityName.3,ActivityName.4,ActivityName.5,ActivityName.6,ActivityName.7,ActivityName.8,ActivityName.9,ActivityName.10,ActivityName.11,ActivityName.12,ActivityName.13,ActivityName.14,ActivityName.15,ActivityName.16,ActivityName.17,ActivityName.18,ActivityName.19,ActivityName.20,ActivityName.21,ActivityName.22,ActivityName.23,ActivityName.24,ActivityName.25,ActivityName.26,ActivityName.27,ActivityName.28,ActivityName.29,ActivityName.30
102,10048257,131,1035,Lower Provo Campground,0,0,10,FISHING,HIKING,MOUNTAIN BIKING,HORSEBACK RIDING,,,,,,,,,,,,,,,,,,,,,,,,,,
103,10048873,131,1035,Willows Campground (UT),0,0,17,FISHING,HIKING,SWIMMING,TUBING,,,,,,,,,,,,,,,,,,,,,,,,,,
104,10048891,131,1035,Wolverine ATV Trailhead Campground,0,0,6,CAMPING,FISHING,WILDLIFE VIEWING,HIKING,MOUNTAIN BIKING,HORSEBACK RIDING,OFF ROAD VEHICLE TRAILS,SCENIC DRIVE,,,,,,,,,,,,,,,,,,,,,,
105,10048898,131,1035,Yellow Pine Campground (UT),0,0,33,FISHING,HIKING,MOUNTAIN BIKING,HORSEBACK RIDING,,,,,,,,,,,,,,,,,,,,,,,,,,
106,10048953,131,1035,Lodge Campground (UT),0,0,10,CAMPING,FISHING,WILDLIFE VIEWING,HIKING,MOUNTAIN BIKING,SCENIC DRIVE,,,,,,,,,,,,,,,,,,,,,,,,
107,10048964,128,14519,Boulder Beach Group Campsites,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,10048983,128,2818,Mammoth Cave Backcountry Camping,0,0,14,CAMPING,FISHING,WILDLIFE VIEWING,HIKING,BIRDING,BACKPACKING,MOUNTAIN BIKING,HORSEBACK RIDING,HORSE CAMPING,,,,,,,,,,,,,,,,,,,,,
109,10049020,131,1082,Upper Manistee River Backcountry Campsites,0,0,11,BOATING,CAMPING,FISHING,WILDLIFE VIEWING,HIKING,PHOTOGRAPHY,BIRDING,SWIMMING,KAYAKING,CANOEING,PADDLING,NON-MOTORIZED BOATING,MOTOR BOAT,,,,,,,,,,,,,,,,,
110,10049270,131,1076,(Lake Alpine) Backpackers,0,0,8,BOATING,CAMPING,FISHING,HIKING,DAY USE AREA,HUNTING,MOUNTAIN BIKING,OFF ROAD VEHICLE TRAILS,SWIMMING,KAYAKING,CANOEING,DISC GOLF,MOTOR BOAT,CLIMBING,ROCK CLIMBING,MOUNTAIN CLIMBING,,,,,,,,,,,,,,
111,10049271,130,1691,Lone Point Group Camp,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
