FacilityID,CampsiteType,CampsiteID
232080,TENT ONLY NONELECTRIC,2
232081,STANDARD NONELECTRIC,14
232082,STANDARD NONELECTRIC,9
232083,GROUP SHELTER NONELECTRIC,1
232083,MANAGEMENT,69
232083,RV NONELECTRIC,3
232083,STANDARD NONELECTRIC,111
232084,GROUP STANDARD NONELECTRIC,3
232084,STANDARD NONELECTRIC,16
232085,STANDARD NONELECTRIC,8
232085,WALK TO,8
232086,GROUP STANDARD NONELECTRIC,4
232087,STANDARD NONELECTRIC,11
232088,CABIN ELECTRIC,3
232088,MANAGEMENT,21
232088,STANDARD ELECTRIC,18
232088,STANDARD NONELECTRIC,32
232088,TENT ONLY NONELECTRIC,1
232088,WALK TO,10
232089,GROUP STANDARD NONELECTRIC,2
232089,MANAGEMENT,1
232089,STANDARD NONELECTRIC,35
232089,YURT,4
232090,STANDARD NONELECTRIC,8
232091,RV NONELECTRIC,19
232091,STANDARD NONELECTRIC,16
232092,STANDARD NONELECTRIC,9
232093,RV NONELECTRIC,2
232093,STANDARD NONELECTRIC,12
232093,TENT ONLY NONELECTRIC,1
232094,STANDARD NONELECTRIC,66
232095,GROUP TENT ONLY AREA NONELECTRIC,3
232095,STANDARD ELECTRIC,13
232095,STANDARD NONELECTRIC,25
232095,WALK TO,40
232096,MANAGEMENT,1
232096,STANDARD NONELECTRIC,14
232096,TENT ONLY NONELECTRIC,5
232097,GROUP STANDARD NONELECTRIC,1
232097,MANAGEMENT,4
232098,GROUP STANDARD NONELECTRIC,1
232098,STANDARD NONELECTRIC,32
232099,MANAGEMENT,1
232099,STANDARD NONELECTRIC,14
232099,TENT ONLY NONELECTRIC,4
232100,GROUP STANDARD NONELECTRIC,1
232101,RV NONELECTRIC,8
232102,GROUP STANDARD NONELECTRIC,2
232102,MANAGEMENT,1
232102,RV NONELECTRIC,1
232102,STANDARD NONELECTRIC,11
232103,GROUP STANDARD NONELECTRIC,3
232103,MANAGEMENT,2
232103,RV NONELECTRIC,5
232103,STANDARD NONELECTRIC,80
232103,TENT ONLY NONELECTRIC,2
232103,YURT,7
232104,MANAGEMENT,5
232104,STANDARD NONELECTRIC,31
232104,YURT,5
232105,GROUP STANDARD NONELECTRIC,4
232105,MANAGEMENT,2
232105,STANDARD NONELECTRIC,13
232105,TENT ONLY NONELECTRIC,1
232105,YURT,5
232107,STANDARD NONELECTRIC,29
232107,TENT ONLY NONELECTRIC,10
232108,MANAGEMENT,1
232108,STANDARD NONELECTRIC,20
232108,YURT,6
232109,GROUP TENT ONLY AREA NONELECTRIC,4
232109,MANAGEMENT,2
232109,STANDARD NONELECTRIC,28
232109,TENT ONLY NONELECTRIC,2
232109,YURT,4
232110,GROUP STANDARD NONELECTRIC,1
232110,STANDARD NONELECTRIC,41
232111,GROUP TENT ONLY AREA NONELECTRIC,1
232112,MANAGEMENT,2
232112,RV NONELECTRIC,7
232112,STANDARD NONELECTRIC,31
232112,TENT ONLY NONELECTRIC,1
232113,MANAGEMENT,1
232113,STANDARD NONELECTRIC,46
232114,GROUP STANDARD ELECTRIC,1
232114,GROUP STANDARD NONELECTRIC,1
232114,MANAGEMENT,3
232114,RV ELECTRIC,10
232114,STANDARD ELECTRIC,21
232114,STANDARD NONELECTRIC,10
232114,WALK TO,2
232115,MANAGEMENT,1
232115,STANDARD NONELECTRIC,32
232115,TENT ONLY NONELECTRIC,4
232116,GROUP STANDARD NONELECTRIC,1
232117,RV NONELECTRIC,1
232117,STANDARD NONELECTRIC,28
232118,MANAGEMENT,1
232118,STANDARD NONELECTRIC,17
232119,RV NONELECTRIC,1
232119,STANDARD NONELECTRIC,9
232119,TENT ONLY NONELECTRIC,1
232119,WALK TO,3
232120,MANAGEMENT,2
232120,STANDARD NONELECTRIC,24
232121,GROUP STANDARD NONELECTRIC,1
232121,GROUP TENT ONLY AREA NONELECTRIC,1
232122,STANDARD NONELECTRIC,28
232123,GROUP TENT ONLY AREA NONELECTRIC,3
232123,MANAGEMENT,19
232123,STANDARD NONELECTRIC,13
232123,TENT ONLY NONELECTRIC,12
232123,WALK TO,1
232124,GROUP STANDARD AREA NONELECTRIC,1
232125,STANDARD NONELECTRIC,9
232125,TENT ONLY NONELECTRIC,10
232126,GROUP STANDARD NONELECTRIC,1
232126,MANAGEMENT,78
232126,STANDARD NONELECTRIC,96
232127,CABIN ELECTRIC,11
232127,MANAGEMENT,5
232127,STANDARD ELECTRIC,27
232127,STANDARD NONELECTRIC,26
232127,WALK TO,32
232128,GROUP STANDARD NONELECTRIC,1
232128,GROUP TENT ONLY AREA NONELECTRIC,1
232128,MANAGEMENT,8
232128,STANDARD ELECTRIC,19
232128,STANDARD NONELECTRIC,24
232128,TENT ONLY NONELECTRIC,1
232129,GROUP STANDARD NONELECTRIC,1
232129,MANAGEMENT,1
232129,STANDARD NONELECTRIC,10
232129,TENT ONLY NONELECTRIC,8
232130,STANDARD NONELECTRIC,41
232131,STANDARD NONELECTRIC,9
232131,TENT ONLY NONELECTRIC,1
232132,GROUP STANDARD NONELECTRIC,1
232133,MANAGEMENT,9
232133,STANDARD NONELECTRIC,3
232133,TENT ONLY NONELECTRIC,1
