facilityid,#tenting,#group,#remote,#structured_RV,tenting,group,remote,structured_RV,totalbeforetax,numberofpeople,reservation_days,days_stay,FacilityName,FacilityLongitude,FacilityLatitude,tenting_demand,group_demand,remote_demand,structured_RV_demand,Year
232237,0.0,1.0,0.0,0.0,0.0,22.0,0.0,0.0,187.0,17.5,147.0,3.0,BISHOP PARK GROUP,-118.593333,37.243889,,22.0,,,2016
232238,28.0,0.0,0.0,0.0,357.0,0.0,0.0,0.0,51.0,3.0,38.0,3.0,MCGEE CREEK,-118.784722,37.564444,12.75,,,,2016
232239,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,155.0,25.0,58.0,2.0,ROCK CREEK LAKE GROUP CAMP,-118.73901399999998,37.453821999999995,,6.0,,,2016
232240,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,92.0,12.0,155.0,3.0,TABLE MOUNTAIN (INYO),-118.56833300000001,37.208056,,17.0,,,2016
232241,34.0,0.0,0.0,0.0,467.0,0.0,0.0,0.0,72.0,4.0,85.0,3.0,TUFF CAMPGROUND,-118.66416699999999,37.5625,13.735294117647058,,,,2016
232242,18.0,0.0,0.0,3.0,489.0,0.0,0.0,0.0,53.0,4.0,86.0,3.0,UPPER SAGE FLAT,-118.433889,37.125833,27.166666666666668,,,0.0,2016
232245,15.0,0.0,4.0,0.0,210.0,0.0,0.0,0.0,29.0,3.0,12.0,2.0,GRASSY FLAT CAMPGROUND,-123.88888899999999,41.856389,14.0,,0.0,,2016
232246,19.0,2.0,0.0,34.0,425.0,43.0,0.0,0.0,45.0,4.0,41.5,3.0,ALMANOR,-121.167778,40.216944,22.36842105263158,21.5,,0.0,2016
232247,44.0,2.0,0.0,5.0,244.0,33.0,0.0,36.0,69.0,4.0,33.0,3.0,EAGLE CAMPGROUND,-120.783056,40.54785,5.545454545454546,16.5,,7.2,2016
232248,9.0,3.0,0.0,0.0,0.0,48.0,0.0,0.0,169.0,27.5,89.0,3.0,HAT CREEK,-121.44555600000001,40.66777800000001,0.0,16.0,,,2016
232249,67.0,0.0,0.0,0.0,2074.0,0.0,0.0,0.0,63.0,4.0,30.0,2.0,HANNA FLAT,-116.97444399999999,34.287778,30.955223880597014,,,,2016
232250,82.0,0.0,0.0,29.0,5380.0,0.0,0.0,1740.0,62.0,4.0,47.0,2.0,SERRANO,-116.919444,34.261389,65.60975609756098,,,60.0,2016
232254,195.0,0.0,0.0,0.0,8365.0,0.0,0.0,0.0,50.0,6.0,95.0,3.0,PINECREST,-119.997222,38.19083300000001,42.8974358974359,,,,2016
232260,72.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,109.0,25.0,109.0,2.0,BIG MEADOW STANISLAUS NATL FS,-120.105,38.416389,0.0,inf,,,2016
232261,26.0,0.0,0.0,0.0,380.0,0.0,0.0,0.0,57.0,4.0,25.0,2.0,HAMPSHIRE ROCKS,-120.49666699999999,39.310556,14.615384615384615,,,,2016
232262,31.0,0.0,1.0,21.0,865.0,0.0,0.0,0.0,53.0,5.0,54.0,2.0,PIPI CAMPGROUND,-120.4375,38.573611,27.903225806451612,,0.0,0.0,2016
232263,37.0,0.0,4.0,18.0,790.0,0.0,51.0,0.0,57.0,4.0,90.0,3.0,SILVER LAKE EAST- ELDORADO,-119.8875,38.675,21.35135135135135,,12.75,0.0,2016
232264,0.0,2.0,0.0,0.0,0.0,36.0,0.0,0.0,207.0,23.5,114.0,2.0,TUNNEL MILLS II,-120.65166699999999,39.252778,,18.0,,,2016
232265,12.0,0.0,0.0,8.0,152.0,0.0,0.0,105.0,59.0,4.0,29.0,2.0,HALLSTED,-121.07305600000001,40.0175,12.666666666666666,,,13.125,2016
232266,0.0,3.0,0.0,0.0,0.0,47.0,0.0,0.0,159.0,24.0,99.0,2.0,HUTCHINS,-121.19916699999999,39.883055999999996,,15.666666666666666,,,2016
232267,59.0,0.0,0.0,0.0,586.0,0.0,0.0,0.0,59.0,5.0,43.0,3.0,RED FEATHER CALIFORNIA,-120.953056,39.735278,9.932203389830509,,,,2016
232268,26.0,0.0,0.0,2.0,1098.0,0.0,0.0,0.0,30.43,4.0,82.0,2.0,JUNE LAKE,-119.073889,37.781944,42.23076923076923,,,0.0,2016
232269,139.0,0.0,0.0,0.0,5985.0,0.0,0.0,0.0,32.32,3.0,24.0,2.0,OH RIDGE,-119.06166699999999,37.796944,43.05755395683453,,,,2016
232270,9.0,9.0,0.0,0.0,0.0,190.0,0.0,0.0,108.56,15.0,111.0,2.0,PINE GLEN,-118.955278,37.649167,0.0,21.11111111111111,,,2016
232271,70.0,0.0,15.0,0.0,1393.0,0.0,307.0,0.0,47.94,4.0,46.0,3.0,SHERWIN CREEK,-118.935,37.63,19.9,,20.466666666666665,,2016
232278,56.0,0.0,0.0,68.0,1231.0,0.0,0.0,0.0,55.0,4.0,35.0,2.0,BURNT RANCHERIA,-116.41611100000001,32.861389,21.982142857142858,,,0.0,2016
232279,85.0,0.0,0.0,26.0,1153.0,0.0,0.0,0.0,55.0,5.0,62.0,2.0,LAGUNA,-116.446389,32.887221999999994,13.564705882352941,,,0.0,2016
232286,47.0,0.0,0.0,0.0,2216.0,0.0,0.0,0.0,63.0,4.0,34.0,2.0,PINEKNOT,-116.88305600000001,34.235278,47.148936170212764,,,,2016
232287,43.0,0.0,0.0,1.0,769.0,0.0,0.0,0.0,52.56,4.0,68.0,2.0,BIG LAKE,-121.870833,44.3775,17.88372093023256,,,0.0,2016
232288,31.0,0.0,0.0,4.0,473.0,0.0,0.0,0.0,48.6,4.0,101.0,2.0,COLD WATER COVE,-121.98888899999999,44.363889,15.258064516129032,,,0.0,2016
232290,0.0,2.0,0.0,52.0,0.0,19.0,0.0,0.0,177.0,35.0,86.0,3.0,GURNSEY CREEK,-121.426667,40.308889,,9.5,,0.0,2016
232293,0.0,3.0,0.0,0.0,0.0,57.0,0.0,0.0,189.0,35.0,121.0,2.0,PIONEER TRAIL,-119.9875,38.1875,,19.0,,,2016
232295,63.0,0.0,0.0,3.0,1401.0,0.0,0.0,71.0,55.0,4.0,19.0,2.0,HEART BAR CAMPGROUND,-116.78583300000001,34.158611,22.238095238095237,,,23.666666666666668,2016
232296,22.0,0.0,0.0,0.0,772.0,0.0,0.0,0.0,55.0,5.0,30.0,2.0,NORTH SHORE (CA),-117.16333300000001,34.267222,35.09090909090909,,,,2016
232298,49.0,0.0,0.0,1.0,921.0,0.0,0.0,0.0,49.0,4.0,58.0,2.0,Silver Springs Campground,-121.53333300000001,46.995556,18.79591836734694,,,0.0,2016
